,Company,# Laid Off,% Laid Off,Date Added,Ticker,$ Change 5D,% Change 5D
428,Mogo,78.0,30%,4/3/2020,MOGO,0.39,13.98
430,23andMe,75.0,9%,6/9/2023,MEHCQ,-1.4,-3.63
432,Palantir,75.0,2%,2/27/2023,PLTR,0.3,3.74
433,Kaltura,75.0,11%,1/5/2023,KLTR,0.1,5.26
436,23andMe,71.0,11%,8/8/2023,MEHCQ,-7.7,-22.13
441,Satellogic,70.0,30%,6/18/2024,SATL,-0.06,-5.56
443,Ibotta,70.0,8%,2/24/2025,IBTA,-31.62,-48.64
446,Skillz,70.0,10%,5/21/2022,SKLZ,-0.2,-0.55
447,Kaltura,70.0,10%,8/9/2025,KLTR,-0.23,-13.22
448,Hims & Hers,68.0,4%,6/5/2025,HIMS,2.48,4.7
449,Nextdoor,67.0,12%,8/18/2025,NXDR,0.05,2.49
450,Beyond Meat,65.0,8%,11/6/2023,BYND,0.03,0.44
452,LiveRamp,65.0,5%,3/7/2025,RAMP,-0.2,-0.75
456,CS Disco,62.0,9%,1/20/2023,LAW,0.39,5.58
464,Lyft,60.0,2%,7/20/2022,LYFT,-1.39,-9.46
465,Western Digital,60.0,7%,6/2/2023,WDC,-0.17,-0.55
466,Innoviz,60.0,13%,2/1/2024,INVZ,-0.1,-5.88
467,Fiverr,60.0,8%,7/26/2022,FVRR,-0.48,-1.46
471,TechTarget,60.0,5%,12/10/2022,TTGT,0.34,0.8
474,Canoo,58.0,6%,7/1/2022,GOEV,119.6,13.83
477,Leafly,56.0,21%,10/19/2022,LFLY,210.0,2.9
478,Definitive Healthcare,55.0,6%,1/12/2023,DH,0.56,4.67
479,DHI Group,53.0,10%,6/6/2023,DHX,0.0,0.0
481,TaskUs,52.0,0%,6/21/2022,TASK,3.0,19.65
483,Freightos,50.0,13%,7/12/2023,CRGO,-0.03,-0.83
484,Inspirato,50.0,6%,7/20/2023,ISPO,0.2,1.08
490,Impinj,50.0,10%,3/14/2024,PI,-4.32,-3.47
492,AEye,46.0,33%,3/29/2023,AEYE,0.23,3.28
493,Viant,46.0,13%,12/21/2022,DSP,0.21,5.75
494,Lemonade,45.0,3%,5/16/2023,LMND,2.9,19.53
495,SoundHound,45.0,10%,11/10/2022,SOUN,-0.07,-3.7
501,Riskified,40.0,6%,2/14/2024,RSKD,-0.16,-3.42
503,Leafly,40.0,21%,3/16/2023,LFLY,-620.0,-12.16
505,Beyond Meat,40.0,4%,8/4/2022,BYND,5.66,18.03
507,Wejo,40.0,16%,3/24/2023,WEJWF,0.0,0.0
509,Rent the Runway,37.0,10%,1/9/2024,RENT,0.56,4.23
510,Perion,35.0,5%,6/26/2024,PERI,0.06,0.72
511,Satellogic,34.0,13%,6/18/2024,SATL,-0.06,-5.56
513,REE Automotive,31.0,11%,2/10/2023,REE,-0.45,-2.97
518,Lyft,30.0,1%,9/4/2024,LYFT,-0.54,-4.76
522,Latch,30.0,6%,5/11/2022,LTCH,0.15,6.33
525,Absci,30.0,15%,9/7/2023,ABSI,-0.01,-0.62
531,Legible,23.0,38%,4/15/2022,LEBGF,0.0,0.0
539,Perion,20.0,5%,8/8/2022,PERI,0.9,4.29
540,ContraFect,16.0,37%,8/15/2022,CFRXQ,-0.9,-3.69
542,PubMatic,12.0,1%,10/7/2024,PUBM,0.64,4.42
545,Peloton,,6%,8/9/2025,PTON,0.65,8.29
547,Rocket Companies,,2%,7/22/2025,RKT,-0.96,-6.0
552,nCino,,7%,5/28/2025,NCNO,-0.59,-2.2
