,Company,# Laid Off,%,Stage,Date Added,Ticker
2662,Beyond Meat,200.0,19%,Post-IPO,10/14/2022,BYND
1364,Payoneer,200.0,10%,Post-IPO,6/27/2023,PAYO
2567,LendingTree,200.0,,Post-IPO,1/23/2023,TREE
3409,Blend,200.0,10%,Post-IPO,4/19/2022,BLND
1371,Uber,200.0,,Post-IPO,6/21/2023,UBER
241,Lightspeed Commerce,200.0,,Post-IPO,12/2/2024,LSPD.TO
2702,8x8,200.0,9%,Post-IPO,1/18/2023,EGHT
170,Outbrain,200.0,,Post-IPO,2/5/2025,852.BE
412,Delivery Hero,200.0,,Post-IPO,8/6/2024,DHER.DE
941,Chewy,200.0,,Post-IPO,11/14/2023,CHWY
2446,Roku,200.0,7%,Post-IPO,11/17/2022,ROKU
3848,GoPro,200.0,20%,Post-IPO,4/15/2020,GPRO
1650,Roku,200.0,6%,Post-IPO,3/30/2023,ROKU
2590,Oracle,200.0,,Post-IPO,11/16/2022,ORCL
1839,DigitalOcean,200.0,11%,Post-IPO,2/15/2023,DOCN
1774,Electronic Arts,200.0,,Post-IPO,3/1/2023,EA
3135,Unity,200.0,4%,Post-IPO,6/29/2022,U
544,Google,200.0,,Post-IPO,5/2/2024,GOOG
1786,Twitter,200.0,10%,Post-IPO,2/26/2023,EBT-USD
1427,Coherent,196.0,,Post-IPO,6/8/2023,COHR
2746,LivePerson,193.0,11%,Post-IPO,9/15/2022,LPSN
3444,Wish,190.0,15%,Post-IPO,5/13/2022,8JR.F
374,Five9,190.0,7%,Post-IPO,8/20/2024,FIVN
7,Oracle,188.0,,Post-IPO,8/18/2025,ORCL
1805,TaskUs,186.0,,Post-IPO,2/23/2023,TASK
958,Oportun,185.0,7%,Post-IPO,3/8/2024,OPRT
1039,Enovix,185.0,,Post-IPO,10/6/2023,ENVX
1581,BuzzFeed,180.0,15%,Post-IPO,4/20/2023,BZFD
176,Okta,180.0,3%,Post-IPO,2/4/2025,OKTA
452,Planet,180.0,17%,Post-IPO,6/28/2024,PL
2474,Asana,180.0,9%,Post-IPO,11/15/2022,ASAN
947,Amazon,180.0,,Post-IPO,11/13/2023,AMZN
2262,BigCommerce,180.0,13%,Post-IPO,12/15/2022,US08975P1084.SG
2333,BuzzFeed,180.0,12%,Post-IPO,12/6/2022,BZFD
1756,Zscaler,177.0,3%,Post-IPO,3/3/2023,ZS
3602,Sonos,174.0,12%,Post-IPO,6/24/2020,SONO
1642,View,170.0,23%,Post-IPO,4/4/2023,VRAYQ
3164,Cue,170.0,,Post-IPO,6/27/2022,CUE
536,Enovix,170.0,33%,Post-IPO,5/6/2024,ENVX
1066,Snap,170.0,,Post-IPO,9/27/2023,SNAP
35,Jamf,166.0,6%,Post-IPO,7/15/2025,JAMF
8,Oracle,161.0,,Post-IPO,8/18/2025,ORCL
689,SiriusXM,160.0,3%,Post-IPO,3/17/2024,SIRI
1510,Microsoft,158.0,,Post-IPO,5/10/2023,MSFT
1975,Delivery Hero,156.0,4%,Post-IPO,1/30/2023,DHER.DE
2079,8x8,155.0,7%,Post-IPO,1/18/2023,EGHT
1878,Oportun,155.0,10%,Post-IPO,3/1/2023,OPRT
826,NuScale Power,154.0,28%,Post-IPO,1/6/2024,SMR
2242,Qualcomm,153.0,,Post-IPO,1/4/2023,QCOM
1167,Illumina,151.0,,Post-IPO,8/19/2023,ILMN
2607,Amazon,150.0,,Post-IPO,1/10/2023,AMZN
292,Coursera,150.0,10%,Post-IPO,10/30/2024,COUR
1184,Blend,150.0,19%,Post-IPO,8/11/2023,BLND
2671,Sinch,150.0,,Post-IPO,1/31/2023,1I9A.F
58,ZoomInfo,150.0,4%,Post-IPO,6/10/2025,ZOM.F
3364,Netflix,150.0,1%,Post-IPO,5/17/2022,NFLX
1651,LendingTree,150.0,13%,Post-IPO,3/31/2023,TREE
538,Rivian,150.0,1%,Post-IPO,5/11/2024,RIVN
21,Atlassian,150.0,,Post-IPO,7/30/2025,TEAM
1937,Pinterest,150.0,,Post-IPO,2/1/2023,PINS
719,Zoom,150.0,2%,Post-IPO,2/1/2024,ZM
1961,Wish,150.0,17%,Post-IPO,1/31/2023,8JR.F
1365,Robinhood,150.0,7%,Post-IPO,6/26/2023,HOOD
1168,AppFolio,149.0,9%,Post-IPO,8/18/2023,APPF
575,Criteo,140.0,4%,Post-IPO,4/12/2024,CRTO
539,Luminar,140.0,20%,Post-IPO,5/3/2024,LAZR
2080,Pagaya,140.0,20%,Post-IPO,1/18/2023,PGY
1938,DraftKings,140.0,4%,Post-IPO,2/1/2023,DKNG
2591,Upstart,140.0,7%,Post-IPO,11/1/2022,UPST
47,Rivian,140.0,1%,Post-IPO,6/27/2025,RIVN
2805,GoodRx,140.0,16%,Post-IPO,8/31/2022,GDRX
1169,Intel,140.0,,Post-IPO,8/19/2023,INTC
376,GoPro,139.0,15%,Post-IPO,8/20/2024,GPRO
3277,Bird,138.0,23%,Post-IPO,6/7/2022,BIRD
1536,Upwork,137.0,15%,Post-IPO,5/3/2023,UPWK
1428,Edgio,134.0,12%,Post-IPO,6/9/2023,EGIOQ
307,Nikola,130.0,15%,Post-IPO,10/16/2024,NKLAQ
3838,CarGurus,130.0,13%,Post-IPO,4/16/2020,CARG
2011,Guardant Health,130.0,7%,Post-IPO,1/25/2023,GH
2893,Quanterix,130.0,25%,Post-IPO,11/16/2022,QTRX
1879,GitLab,130.0,7%,Post-IPO,2/9/2023,GTLB
3359,Latch,130.0,28%,Post-IPO,5/21/2022,LTCH
1396,Sonos,130.0,7%,Post-IPO,6/14/2023,SONO
1880,Bark,126.0,12%,Post-IPO,2/9/2023,BARK
948,TripAdvisor,125.0,4%,Post-IPO,12/22/2023,TRIP
1924,NCC Group,125.0,7%,Post-IPO,2/3/2023,NZB.F
